u,F,fracture_dissipation,l,a,Nl_Ntot
1.2402466498733737e-05,73.02993533841801,0.00026125824354836106,262170000.0,0.0007294567634922655,0.2506053268765133
1.2399969438087902e-05,72.81952279010756,0.00026246868701703584,261410000.0,0.000729905075888071,0.25181598062953997
1.240580075152205e-05,72.66343688826525,0.00026364272672309454,260840000.0,0.0007303399054088335,0.25302663438256656
1.2417255635792214e-05,72.54900545575173,0.0002647623978566567,260420000.0,0.000730754598421264,0.2542372881355932
1.2431383781531962e-05,72.44182691017339,0.0002659330883498523,260030000.0,0.0007311881874928178,0.25544794188861986
1.2442474155826063e-05,72.30086909532567,0.0002672071971243981,259520000.0,0.0007316600796315385,0.2566585956416465
1.2448311076876318e-05,72.15125720441621,0.0002683479427689566,258980000.0,0.000732082578018412,0.25786924939467315
1.2475150528525896e-05,72.06796047183211,0.0002698169860580255,258670000.0,0.0007326266681254745,0.25907990314769974
1.2481718801036834e-05,71.90223297479136,0.00027107769877842027,258070000.0,0.0007330935987626578,0.2602905569007264
1.2513187137324566e-05,71.81052185281409,0.0002727710407972301,257730000.0,0.0007337207624733282,0.26150121065375304
1.2496280338916972e-05,71.52706117250291,0.0002739119478129242,256710000.0,0.0007341433206272889,0.2627118644067797
1.2500975617875139e-05,71.35206767296437,0.00027515396321757746,256080000.0,0.0007346033263327161,0.2639225181598063
1.2481938626166313e-05,71.08746820219294,0.0002761140471904562,255120000.0,0.0007349589129893377,0.2651331719128329
1.2487017157708804e-05,70.91324076220221,0.0002773697906227861,254490000.0,0.00073542400314946,0.26634382566585957
1.2490824680565277e-05,70.74617723628205,0.0002785343945889243,253890000.0,0.0007358553379517333,0.2675544794188862
1.2496226302576967e-05,70.58306711854702,0.0002797316096834841,253300000.0,0.0007362987509497185,0.2687651331719128
1.2508043524609978e-05,70.45666431263625,0.00028092856280563706,252840000.0,0.0007367420669208862,0.26997578692493945
1.2520879896508565e-05,70.3270968022536,0.00028218072234062296,252370000.0,0.0007372058297116218,0.2711864406779661
1.2533030199792855e-05,70.18438016617624,0.0002834893703773911,251850000.0,0.0007376905141696841,0.27239709443099275
1.2539714904442646e-05,70.00529344360598,0.0002848308185172781,251200000.0,0.0007381873468140866,0.2736077481840194
1.2543154994621607e-05,69.82232119886689,0.0002860848787937471,250540000.0,0.0007386518135831492,0.274818401937046
1.2548767579365432e-05,69.65113737869996,0.00028734204025716425,249920000.0,0.0007391174289399704,0.27602905569007263
1.2554830210993524e-05,69.47541697249444,0.0002886451873916514,249280000.0,0.0007396000760268175,0.2772397094430993
1.255990892839411e-05,69.30890798162292,0.00028985872960561056,248680000.0,0.0007400495361060617,0.2784503631961259
1.2571487330222907e-05,69.17558034711911,0.0002910901663798009,248200000.0,0.0007405056238002062,0.2796610169491525
1.2580277308342557e-05,69.01279816073406,0.0002924091198338452,247610000.0,0.0007409941250794818,0.28087167070217917
1.2580603675177468e-05,68.8187679675772,0.00029363234960757303,246900000.0,0.0007414471731438255,0.2820823244552058
1.2578728457274076e-05,68.62068666906258,0.0002948036124209639,246190000.0,0.0007418809741858222,0.28329297820823246
1.2589280786371499e-05,68.49361034341494,0.0002959552291166967,245730000.0,0.0007423074988879454,0.2845036319612591
1.2596304865133492e-05,68.34072375281457,0.00029714477822998696,245180000.0,0.0007427480726336084,0.2857142857142857
1.2608012050056359e-05,68.20535262490388,0.00029838426535342414,244680000.0,0.0007432071419385852,0.28692493946731235
1.261654476562856e-05,68.04182448845131,0.00029969314458205544,244090000.0,0.0007436919120232634,0.288135593220339
1.2623528349158265e-05,67.8818861145618,0.00030093037377029063,243510000.0,0.0007441501450559431,0.28934624697336564
1.263529262634787e-05,67.74297934938281,0.0003021960702809434,243010000.0,0.0007446189215413701,0.29055690072639223
1.2640825283508456e-05,67.57308060033246,0.0003034449201872997,242400000.0,0.0007450814585437243,0.2917675544794189
1.2642750310402046e-05,67.37066979471587,0.0003047692267064632,241670000.0,0.0007455719424397108,0.2929782082324455
1.26550091426437e-05,67.23499699019553,0.0003060319494403194,241170000.0,0.0007460396175263242,0.29418886198547217
1.2642068537523096e-05,66.99951167822351,0.0003070781447546367,240330000.0,0.0007464270972723676,0.29539951573849876
1.2649340785644592e-05,66.85072199775924,0.0003082500037719358,239790000.0,0.0007468611191306265,0.2966101694915254
1.2660075361857761e-05,66.7069141435006,0.00030950675229926496,239270000.0,0.0007473265815481559,0.29782082324455206
